,stock_code,stock_name,mkt_val_20q4,mkt_val_21q1,change,stock_ex_code,return
0,700,腾讯控股,0.0160418601006894,0.040543321530497,2.450146142980758,sz.000700,-0.12293578210217393
7,600519,贵州茅台,0.0286787806057342,0.0380783789142071,0.9399598308472924,sh.600519,0.005505503846857884
1,300750,宁德时代,0.0168318900268294,0.0342152442338267,1.7383354206997312,sz.300750,-0.08242430779685728
11,858,五粮液,0.0207929404823633,0.0292341569815357,0.8441216499172389,sz.000858,-0.08178859331751953
3,3690,美团-W,0.0093464550842506,0.0206432809286428,1.1296825844392246,sz.003690,0.0
2,2415,海康威视,0.0034548403770704,0.0185848627718777,1.5130022394807257,sz.002415,0.1523397219287912
20,333,美的集团,0.0129296373768385,0.0179382533072961,0.5008615930457615,sz.000333,-0.16466883132556032
10,603259,药明康德,0.0085665844091268,0.0170159741032733,0.8449389694146499,sh.603259,0.04067696879877358
8,601012,隆基股份,0.007416808646559,0.0163306270280683,0.8913818381509259,sh.601012,-0.0455531466903939
435,300760,迈瑞医疗,0.0221958243869821,0.015692708493689,-0.6503115893293113,sz.300760,-0.06312206391123687
438,661,长春高新,0.0230984419738262,0.0152054377997097,-0.7893004174116461,sz.000661,0.008509509619831768
41,568,泸州老窖,0.0118439441416788,0.0140058021441701,0.2161858002491253,sz.000568,-0.005040679598624087
19,600036,招商银行,0.0073235031462348,0.0129370651265156,0.5613561980280725,sh.600036,0.1626848700000001
13,601166,兴业银行,0.0040797184009766,0.0124648081837072,0.8385089782730649,sh.601166,0.15428844961152977
5,601888,中国中免,0.0016342530739527,0.0122738760205872,1.0639622946634513,sh.601888,0.08366082115653528
4,600900,长江电力,0.0009511413370558,0.0119314420171953,1.0980300680139423,sh.600900,0.11899790625894013
25,600031,三一重工,0.0071586913129984,0.011563409497098,0.4404718184099598,sh.600031,-0.023727839824876362
420,2460,赣锋锂业,0.0153170725358192,0.0110652193801003,-0.4251853155718844,sz.002460,-0.06857707590210727
12,600309,万华化学,0.0025696916629958,0.0109803247353096,0.8410633072313751,sh.600309,0.1599296949758653
6,300122,智飞生物,0.0011420683593778,0.0106634581801345,0.9521389820756744,sz.300122,0.16618213384650726
414,2714,牧原股份,0.012584461138808,0.0093295569831056,-0.3254904155702325,sz.002714,0.29740596195250424
359,600809,山西汾酒,0.0099647228618782,0.0091127932896165,-0.0851929572261663,sh.600809,-0.11321910607398689
28,601318,中国平安,0.0051558940481552,0.0089672216950299,0.3811327646874644,sh.601318,-0.09519430145532781
9,1810,小米集团-W,0.0001398105562866,0.0089542567380719,0.8814446181785323,sz.001810,0.0
394,300454,深信服,0.0103876489258559,0.008697839872453,-0.1689809053402966,sz.300454,-0.004072413488605875
356,2311,海大集团,0.009502374237317,0.0086769854372273,-0.0825388800089697,sz.002311,0.19083969806568102
14,603799,华友钴业,0.0010802229646991,0.0086121859675022,0.7531963002803109,sh.603799,-0.1331652025199591
18,601601,中国太保,0.002359309342976,0.0082645073347606,0.5905197991784653,sh.601601,-0.014583328068546897
329,300015,爱尔眼科,0.0086243651104968,0.0080313607670184,-0.059300434347837,sz.300015,-0.20883963781102166
443,2475,立讯精密,0.0225935536963929,0.007996830059873,-1.4596723636519873,sz.002475,-0.3971846107890892
44,300347,泰格医药,0.0057013845780773,0.0077823309139892,0.208094633591192,sz.300347,-0.0711589628773609
23,388,香港交易所,0.0023914086294013,0.0071535353919391,0.4762126762537811,sz.000388,0.0
388,596,古井贡酒,0.0084958035153715,0.0071042563582405,-0.139154715713101,sz.000596,-0.2273161859917442
16,1,平安银行,0.0008659459858693,0.006853671162979,0.5987725177109726,sz.000001,0.13805585007884003
444,600276,恒瑞医药,0.0228239560272268,0.0067525372877492,-1.60714187394776,sh.600276,-0.17378431797987248
15,601088,中国神华,0.0004778875437139,0.0066363610860103,0.6158473542296439,sh.601088,0.11604664425724187
119,600763,通策医疗,0.0060732835372162,0.0064215316936007,0.0348248156384556,sh.600763,-0.09409808240144146
29,2271,东方雨虹,0.0026253159049387,0.0063291848307505,0.3703868925811878,sz.002271,0.3185566917921283
17,300363,博腾股份,0.0003661947361016,0.006285861166021,0.5919666429919355,sz.300363,0.44605696295069297
74,2821,凯莱英,0.0051790870020055,0.0062588714714422,0.1079784469436687,sz.002821,-0.03433175098955554
100,600438,通威股份,0.0056674012597611,0.0062470888430739,0.0579687583312826,sh.600438,-0.14828303894013894
31,2313,申洲国际,0.0029202376401409,0.0061642675404377,0.324402990029682,sz.002313,-0.15469147333923694
340,300014,亿纬锂能,0.0065476636539712,0.005882195966341,-0.0665467687630169,sz.300014,-0.0779141077499852
32,2050,三花智控,0.0024707346875629,0.005291309561888,0.2820574874325158,sz.002050,-0.1634888368135924
21,951,中国重汽,0.0002537727659492,0.0052062367527405,0.495246398679123,sz.000951,0.21424031271910926
35,2352,顺丰控股,0.0025256837560218,0.0051710971415769,0.2645413385555138,sz.002352,-0.08171824118181581
22,157,中联重科,0.000340449403079,0.0051371872288589,0.4796737825779906,sz.000157,0.2838383821768704
30,300759,康龙化成,0.0012857059330133,0.0049698187882291,0.3684112855215789,sz.300759,0.24493355976667952
51,2382,舜宇光学科技,0.0032707358338684,0.0049242556991781,0.1653519865309674,sz.002382,-0.0862968294307801
24,2353,杰瑞股份,0.0001969266337583,0.0048590375719817,0.4662110938223354,sz.002353,-0.0014285768112577424
